TOKENS       LEXEMES                 

IDENTIFIER   d                       
OPERATOR     =                       
INTEGER      0                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   r                       
OPERATOR     =                       
INTEGER      1                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   a                       
OPERATOR     =                       
INTEGER      1                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   d                       
OPERATOR     =                       
INTEGER      0                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   b                       
OPERATOR     =                       
INTEGER      1                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   cos                     
OPERATOR     =                       
INTEGER      0                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   pi                      
OPERATOR     =                       
INTEGER      1                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   sin                     
OPERATOR     =                       
INTEGER      1                       
SEPARATOR    ;                       
KEYWORD      int                     
IDENTIFIER   abs                     
OPERATOR     =                       
INTEGER      0                       
SEPARATOR    ;                       
KEYWORD      while                   
SEPARATOR    (                       
IDENTIFIER   d                       
OPERATOR     <                       
INTEGER      0                       
SEPARATOR    )                       
SEPARATOR    {                       
KEYWORD      if                      
SEPARATOR    (                       
IDENTIFIER   a                       
OPERATOR     >                       
OPERATOR     =                       
IDENTIFIER   b                       
SEPARATOR    )                       
SEPARATOR    {                       
IDENTIFIER   r                       
OPERATOR     =                       
REAL         9.0                     
OPERATOR     -                       
OPERATOR     '                       
STRING       5                       
OPERATOR     '                       
OPERATOR     *                       
IDENTIFIER   r                       
SEPARATOR    ;                       
IDENTIFIER   cos                     
OPERATOR     =                       
IDENTIFIER   pi                      
OPERATOR     -                       
IDENTIFIER   sin                     
SEPARATOR    (                       
IDENTIFIER   pi                      
OPERATOR     /                       
INTEGER      2                       
SEPARATOR    )                       
SEPARATOR    ;                       
SEPARATOR    }                       
KEYWORD      else                    
SEPARATOR    {                       
KEYWORD      int                     
IDENTIFIER   intvalue                
OPERATOR     =                       
IDENTIFIER   abs                     
SEPARATOR    (                       
SEPARATOR    )                       
SEPARATOR    ;                       
SEPARATOR    }                       
SEPARATOR    ;                       
SEPARATOR    }                       
SEPARATOR    ;                       
END_OF_FILE  $                       
